,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,New Recoverd,Active Cases,Serious Cases
88,81,Estonia,572434,0,2548,0,511857,0,58029,3
89,82,Bahrain,570103,0,1476,0,565516,0,3111,2
90,83,Venezuela,522564,0,5709,0,515819,0,1036,230
91,84,Moldova,516986,0,11489,0,504142,0,1355,49
92,85,Egypt,515645,0,24613,0,442182,0,48850,122
93,86,Libya,501904,0,6430,0,490973,0,4501,101
94,87,Cyprus,474267,0,1020,0,124370,0,348877,60
95,88,Ethiopia,470647,0,7510,0,455716,0,7421,5
96,89,Mongolia,469885,0,2179,0,313256,0,154450,192
97,90,Honduras,423794,0,10895,0,132358,0,280541,105
98,91,Armenia,422877,0,8622,0,412026,0,2229,0
99,92,Oman,389126,0,4258,0,384243,0,625,4
100,93,Bosnia and Herzegovina,377087,0,15765,0,192218,0,169104,0
101,94,Réunion,374295,0,742,0,355605,0,17948,10
102,95,Qatar,364826,0,677,0,363645,0,504,3
103,96,Kenya,323806,0,5649,0,318034,0,123,0
104,97,Zambia,319755,0,3976,0,315266,0,513,1
105,98,North Macedonia,309925,0,9283,0,300021,0,621,0
106,99,Botswana,305859,0,2688,0,303026,0,145,1
107,100,Albania,275211,0,3496,0,271424,0,291,2
108,101,Algeria,265782,0,6875,0,178358,0,80549,6
109,102,Nigeria,255766,0,3143,0,249914,0,2709,11
110,103,Zimbabwe,248050,0,5471,0,241899,0,680,12
111,104,Luxembourg,240132,0,1068,0,229649,0,9415,1
112,105,Uzbekistan,238651,15,1637,0,236777,12,237,23
113,106,Montenegro,235484,0,2716,0,232117,0,651,6
114,107,Taiwan,232402,30106,886,5,30973,1276,200543,0
115,108,Mozambique,225400,0,2201,0,223155,0,44,13
116,109,Laos,208111,0,745,0,7660,0,199706,0
117,110,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131
118,111,Iceland,185795,0,119,0,75685,0,109991,0
119,112,Maldives,179171,0,298,0,163687,0,15186,25
120,113,Afghanistan,178901,0,7683,0,161896,0,9322,1124
121,114,Uganda,164069,0,3596,0,100205,0,60268,2
122,115,El Salvador,162089,0,4128,0,150662,0,7299,8
123,116,Ghana,161216,0,1445,0,159737,0,34,1
124,117,Namibia,158940,0,4025,0,153662,0,1253,0
125,118,Martinique,153253,0,926,0,104,0,152223,8
126,119,Trinidad and Tobago,149532,0,3843,0,137013,0,8676,18
127,120,Brunei ,142166,0,218,0,141408,0,540,4
128,121,Guadeloupe,140130,0,854,0,2250,0,137026,19
129,122,Cambodia,136258,0,3056,0,133156,0,46,0
130,123,Jamaica,130473,0,2970,0,83874,0,43629,0
131,124,Rwanda,129819,0,1459,0,45522,0,82838,0
132,125,Cameroon,119780,0,1927,0,117791,0,62,13
133,126,Angola,99194,0,1900,0,97149,0,145,0
134,127,Malta,92308,0,703,0,87926,0,3679,4
135,128,DRC,87023,0,1337,0,50930,0,34756,0
136,129,Senegal,86010,0,1966,0,84025,0,19,0
137,130,Malawi,85795,0,2634,0,82069,0,1092,67
138,131,Ivory Coast,81967,0,799,0,81132,0,36,0
139,132,French Guiana,80859,0,395,0,11254,0,69210,2
140,133,Suriname,79393,0,1328,0,49402,0,28663,0
141,134,Channel Islands,74642,0,171,0,73655,0,816,0
142,135,French Polynesia,72765,0,648,0,0,0,0,7
143,136,Barbados,71127,0,399,0,67374,0,3354,0
144,137,Eswatini,70833,0,1398,0,69010,0,425,11
145,138,Fiji,64646,0,862,0,62791,0,993,0
146,139,Madagascar,64181,0,1391,0,59370,0,3420,14
147,140,Guyana,63518,0,1228,0,62200,0,90,1
148,141,Sudan,62135,0,4933,0,0,0,0,0
149,142,New Caledonia,60749,0,312,0,60231,0,206,9
150,143,Bhutan,59422,64,21,0,59033,177,368,2
151,144,Mauritania,58699,0,982,0,57700,0,17,0
152,145,Belize,57561,0,676,0,56654,0,231,6
153,146,Cabo Verde,56036,0,401,0,55564,0,71,23
154,147,Syria,55833,0,3150,0,52243,0,440,0
155,148,Gabon,47602,0,304,0,47285,0,13,0
156,149,Papua New Guinea,43821,0,650,0,43133,0,38,7
